Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Crocodile Dundee,174803506,328000000,NA,5000000,26-Sep-86,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,88,6.5,27277
Dayereh,673780,673780,NA,10000,9-Mar-01,Not Rated,NA,WinStar Cinema,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,1851
Karakter,713413,713413,NA,4500000,27-Mar-98,R,NA,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,7.8,5531
Creepshow,20036244,20036244,NA,8000000,10-Nov-82,NA,NA,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67,6.5,12530
Creepshow 2,14000000,14000000,NA,3500000,1-May-87,NA,NA,New World,Based on Book/Short Story,Horror,Fantasy,NA,26,5.4,5910
The Crying Game,62546695,62546695,NA,4000000,25-Nov-92,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Neil Jordan,100,7.3,21195
Crimson Tide,91387195,159387195,NA,55000000,12-May-95,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,86,7.2,33354
Caravans,1000000,1000000,NA,14000000,NA,NA,NA,Universal,Based on Book/Short Story,Adventure,Historical Fiction,NA,NA,5.8,173
Casablanca,10462500,10462500,NA,950000,NA,NA,NA,Warner Bros.,Based on Play,Drama,Historical Fiction,Michael Curtiz,97,8.8,167939
Casino,42438300,110400000,NA,52000000,22-Nov-95,R,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,8.1,108634
Casper,100328194,282300000,NA,55000000,26-May-95,PG,NA,Universal,Based on TV,Comedy,Fantasy,Brad Silberling,41,5.7,26121
Can't Stop the Music,2000000,2000000,NA,20000000,NA,NA,NA,NA,Original Screenplay,Musical,Contemporary Fiction,NA,NA,3.5,2146
Catch-22,24911670,24911670,NA,18000000,24-Jun-70,NA,NA,Paramount Pictures,Based on Book/Short Story,Comedy,Historical Fiction,Mike Nichols,87,7.1,9671
City Hall,20278055,20278055,NA,40000000,16-Feb-96,R,111,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Harold Becker,55,6.1,9908
Cutthroat Island,10017322,10017322,NA,92000000,22-Dec-95,PG-13,NA,MGM,Original Screenplay,Adventure,Historical Fiction,Renny Harlin,45,5.3,10346
La femme de chambre du Titanic,244465,244465,NA,10000000,14-Aug-98,NA,NA,MGM,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.8,822
Cat People,4000000,8000000,NA,134000,16-Nov-42,NA,NA,RKO Radio Pictures,Original Screenplay,Drama,Fantasy,NA,91,5.9,6791
Courage Under Fire,59003384,100833145,NA,46000000,12-Jul-96,R,115,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Edward Zwick,85,6.6,19682
C'era una volta il West,5321508,5321508,NA,5000000,28-May-69,PG-13,NA,Paramount Pictures,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,8.8,74184
The Conversation,4420000,4420000,NA,1600000,7-Apr-74,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Francis Ford Coppola,98,8.1,33005
Cavite,70071,71644,NA,7000,26-May-06,Not Rated,NA,Truly Indie,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,6,487
Copycat,32051917,32051917,NA,20000000,27-Oct-95,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,75,6.5,17182
Dark Angel,4372561,4372561,NA,7000000,28-Sep-90,NA,NA,Triumph Releasing,Original Screenplay,Action,Science Fiction,NA,NA,5.3,3396
"Boot, Das",11487676,84970337,NA,12000000,10-Feb-82,R,NA,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Wolfgang Petersen,NA,4.3,2184
Desperado,25532388,25532388,NA,7000000,25-Aug-95,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,61,7,51515
Dumb & Dumber,127175374,246400000,NA,16000000,16-Dec-94,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,NA,7.2,88093
Diamonds Are Forever,43800000,116000000,NA,7200000,17-Dec-71,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,67,6.7,25354
The Dark Half,9579068,9579068,NA,15000000,23-Apr-93,NA,NA,Orion Pictures,Based on Book/Short Story,Horror,Fantasy,George A. Romero,NA,5.7,5488
The Dark Hours,423,423,NA,400000,13-Oct-05,R,NA,Freestyle Releasing,NA,Horror,NA,NA,NA,6.3,2804
Dante's Peak,67163857,178200000,NA,115000000,7-Feb-97,PG-13,108,Universal,Original Screenplay,Drama,Contemporary Fiction,Roger Donaldson,28,5.6,23472
Daylight,32908290,158908290,NA,80000000,6-Dec-96,PG-13,115,Universal,Original Screenplay,Action,Contemporary Fiction,Rob Cohen,22,5.4,20052
Dick Tracy,103738726,162738726,NA,47000000,15-Jun-90,NA,NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Warren Beatty,65,5.9,25364
Decoys,84733,84733,NA,5000000,27-Feb-04,R,NA,NA,NA,NA,NA,NA,NA,4.4,2486
Dawn of the Dead,5100000,55000000,NA,1500000,20-Apr-79,NA,NA,United Film Distribution Co.,NA,Horror,NA,NA,NA,7.4,73875
The Addams Family,113502246,191502246,NA,30000000,22-Nov-91,NA,NA,Paramount Pictures,Based on TV,Comedy,Fantasy,Barry Sonnenfeld,59,6.6,28907
Death Becomes Her,58422650,149022650,NA,55000000,31-Jul-92,NA,NA,Universal,Original Screenplay,Comedy,Fantasy,Robert Zemeckis,53,6,27681
Def-Con 4,210904,210904,NA,1300000,15-Mar-85,NA,NA,New World,Original Screenplay,Action,Science Fiction,NA,NA,3.8,639
Dead Poets' Society,95860116,239500000,NA,16400000,2-Jun-89,NA,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,86,7.8,89662
The Day the Earth Stood Still,3700000,3700000,NA,1200000,4-Mar-03,NA,NA,NA,NA,NA,NA,NA,94,5.5,51517
Deep Throat,45000000,45000000,NA,25000,30-Jun-72,NA,NA,NA,NA,NA,NA,NA,NA,5.2,3075
The Dead Zone,20766000,20766000,NA,10000000,21-Oct-83,NA,NA,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,David Cronenberg,NA,7.3,19485
Die Hard 2,117323878,239814025,NA,70000000,3-Jul-90,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Renny Harlin,NA,7,79636
Die Hard: With a Vengeance,100012499,364480746,NA,90000000,19-May-95,R,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,NA,7.4,87437
Dragonheart,51364680,104364680,NA,57000000,31-May-96,PG-13,108,Universal,Original Screenplay,Adventure,Fantasy,Rob Cohen,50,6.2,26309
Die Hard,81350242,139109346,NA,28000000,15-Jul-88,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,John McTiernan,94,7.3,237
Diner,12592907,12592907,NA,5000000,2-Apr-82,NA,NA,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96,7.1,7803
Dil Jo Bhi Kahey...,129319,129319,NA,1600000,23-Sep-05,Not Rated,NA,Eros Entertainment,Original Screenplay,Drama,NA,NA,NA,5,159
